OBJECTID,NOME STRUTTURA,DESCRIZIONE,TIPO ATTIVITA',TIPO STRUTTURA,PRONTO SOCCORSO,PRONTO SOCCORSO PEDIATRICO,PUNTO DI PRIMO INTERVENTO,STRUTTURA  ACCREDITATA,INDIRIZZO,CAP,COMUNE,PROVINCIA,CODICE ATS,ATS,CODICE ASST,ASST,CODICE DISTRETTO SANITARIO,DISTRETTO SANITARIO,N° TELEFONO,LATITUDINE,LONGITUDINE
736,CENTRO MEDICO METICA/PADRE MONTI - AMBULATORIO DI MEDICINA DELLO SPORT,AMBULATORIO DI MEDICINA SPORTIVA,MEDICINA SPORTIVA,PRIVATA,N/A,N/A,N/A,SI,VIA AMBROGIO LEGNANI,4,21047,SARONNO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,837,SARONNO,0296702109,45.62892015,9.03855488
737,VILLA BERNOCCHI,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA MONTELLO,9,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332283699,45.82864,8.82223
738,COMUNITÀ PROTETTA CREST DI VINAGO,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA SANTI GAUDENZIO E BIAGIO,36,21020,MORNAGO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,828,AZZATE,0331904438,45.735394,8.7550368
739,CASA S. GIACOMO - 2,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE GARIBALDI,29,21055,GORLA MINORE,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,832,CASTELLANZA,033136811,45.6472403,8.8984656
740,MEDICINA ISBER,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA CARLO SONZINI,8,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332289195,45.82223,8.83155
741,CENTRO RIABILITATIVO SEMIRESIDENZIALE IL SEME,STRUTTURA DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA DELLE ALPI,24,21010,CARDANO AL CAMPO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,839,SOMMA LOMBARDO,0331262026,45.65483732,8.76442167
742,MEDISPORT S.R.L.,AMBULATORIO DI MEDICINA SPORTIVA,MEDICINA SPORTIVA,PRIVATA,N/A,N/A,N/A,SI,PIAZZA PAPA GIOVANNI XXIII,15,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,N/A,45.82312,8.81911
743,EURO CENTRO POLISPECIALISTICO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIALE MILANO,18/B,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332235416830910,45.81961,8.8326
744,C.R.P. CENTRO RADIOLOGICO POLISPECIALISTICO SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA GENERALE CARLO ALBERTO DALLA CHIESA,17,21019,SOMMA LOMBARDO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,839,SOMMA LOMBARDO,0331259623,45.67343,8.70725
745,CENTRO FISIOTERAPICO ELLEFFE SNC DI ZAVATTARI FILIPPO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,NO,VIA PIETRO VALSECCHI,23,21061,MACCAGNO CON PINO E VEDDASCA,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,836,LUINO,0332560248,46.042885,8.7348435
746,RESIDENZA GIARDINO 2,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA DELLE SORGENTI,9,21037,LAVENA PONTE TRESA,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,836,LUINO,0332523333,45.95638,8.85236
747,CASA S. GIACOMO - 1,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE GARIBALDI,29,21055,GORLA MINORE,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,832,CASTELLANZA,033136811,45.6472403,8.8984656
748,COMUNITÀ PROTETTA PERCORSI,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA ORTO BOTANICO,1,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,041982962,45.81665,8.81998
749,CHINESPORT SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,PIAZZA FRANCESCO BUFFONI,3,21013,GALLARATE,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,834,GALLARATE,0331785433,45.66572,8.79609
750,LABORATORIO ANALISI MEDICHE TOMA ADVANCED BIOMEDICAL ASSAYS SPA,SERVIZIO DI MEDICINA DI LABORATORIO,DIAGNOSTICA DI LABORATORIO,PRIVATA,N/A,N/A,N/A,SI,VIA FRANCESCO FERRER,25/27,21052,BUSTO ARSIZIO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,830,BUSTO ARSIZIO,0331652911,45.598773,8.8509349
751,SOLEXIS SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA DEI CARANTANI,SNC,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332287207,45.83014,8.8226
752,CDI BESOZZO POLIAMBULATORIO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA XXV APRILE,6/F,21023,BESOZZO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,835,LAVENO,0332971330,45.8453325,8.6649437
753,CPM BELENOS,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA BOACCA,4,21035,CUNARDO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,836,LUINO,0332716052,45.9353,8.80463
754,COMUNITA' PRIMAVERA,STRUTTURA DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA CASA MORA,19,21050,CUASSO AL MONTE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,827,ARCISATE,0332920275,45.91197,8.88901
755,SIRIO S.R.L. - CENTRO MEDICO POLISPECIALISTICO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA AURELIO SAFFI,73,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332285780,45.83622,8.79577
756,STUDIO DR. A. CHIARIOTTI & C. S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE CASTIGLIONI,1,21052,BUSTO ARSIZIO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,830,BUSTO ARSIZIO,0331635373,45.61252,8.85817
757,POLIAMBULATORIO KOUROS,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,PIAZZA SANDRO PERTINI,15,21057,OLGIATE OLONA,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,832,CASTELLANZA,0331642950,45.62503412,8.87665157
758,P.R.E.S. SRL POLO RADIOLOGICO ECOGRAFICO SOMMESE,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA MILANO,122,21019,SOMMA LOMBARDO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,839,SOMMA LOMBARDO,0331256129,45.6809336,8.7175176
759,COMUNITA' LA PINETA,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,LOCALITA' PIANBOSCO-VIA DEI NOCCIOLI SNC,21040,VENEGONO INFERIORE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,841,TRADATE,0331864818,45.73779,8.90136
760,CENTRO MEDICO KOUROS,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA MANTOVA,3,21052,BUSTO ARSIZIO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,830,BUSTO ARSIZIO,0331320190,45.60399,8.85414
761,COMUNITÀ CAMELIA,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA CASA MORA,19,21050,CUASSO AL MONTE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,827,ARCISATE,0332920275,45.91197,8.88901
762,COMUNITÀ GARDENIA,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA CASA MORA,19,21050,CUASSO AL MONTE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,827,ARCISATE,0332920275,45.91197,8.88901
763,CENTRO DIURNO CREST DI ISPRA,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA VERBANO,23,21027,ISPRA,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,838,SESTO CALENDE,0272002387,45.8134129,8.6097582
764,COMUNITA' TERAPEUTICA DI FOGLIARO,STRUTTURA DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA CIRENE,1,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332281025,45.84737,8.80257
765,CENTRO POLISPECIALISTICO BECCARIA S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA CALOGERO MARRONE,2,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332234395,45.81475,8.83013
766,CENTRO DIAGNOSTICO GALLARATESE,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA MARSALA,29,21013,GALLARATE,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,834,GALLARATE,N/A,45.65785,8.78584
767,CENTRO MEDICO CONVENZIONATO S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA MAGENTA,11,21013,GALLARATE,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,834,GALLARATE,0331701765,45.65561,8.79328
768,DEDALUS - COMUNITA' PROTETTA,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA BOACCA,4,21035,CUNARDO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,836,LUINO,N/A,45.9353,8.80463
769,STUDIO DENTISTICO DOTTOR PROVVISIONATO STEFANO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,NO,VIA PIAVE,3,21047,SARONNO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,837,SARONNO,029606598,45.62197,9.04577
770,CDV DIA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA SAN MICHELE,6,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0331476111,45.81382,8.82919
771,STUDIO RADIOLOGICO DIAGNOSTICA PER IMMAGINI SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA CARLO AVEGNO,1,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332288343,45.81562,8.82904
772,STUDIO RADIOLOGICO CEMAR DI CORRADI EMILIA & C. SAS,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA XX SETTEMBRE,16,21013,GALLARATE,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,834,GALLARATE,0331792457,45.66193,8.79311
773,CENTRO INTERDIPARTIMENTALE DI MEDICINA DELLO SPORT SRL,AMBULATORIO DI MEDICINA SPORTIVA,MEDICINA SPORTIVA,PRIVATA,N/A,N/A,N/A,SI,PIAZZA FRANCESCO BUFFONI,3,21013,GALLARATE,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,834,GALLARATE,N/A,45.66572,8.79609
774,DENTAL LIFE CENTRO ODONTOIATRICO SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA LAZIO,4,21100,VARESE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,842,VARESE,0332813484,45.81134,8.83574
775,CENTRO RADIOLOGICO POLISPECIALISTICO DEI LAGHI,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA LABIENA,626,21020,COMABBIO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,838,SESTO CALENDE,0332960483,45.764406,8.6772799
776,C.R.T. GREGORIUS,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA GIORGIO AMENDOLA,10,21026,GAVIRATE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,835,LAVENO,0332742507,45.84475,8.71543
777,COMUNITA' VENTO E FUOCO,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA PIANEZZO,3,21050,CANTELLO,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,827,ARCISATE,0332418609,45.82078,8.89208
778,POLIAMBULATORIO FILIPPINI S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIALE GUGLIELMO MARCONI,16,21049,TRADATE,VA,030322,ATS DELL'INSUBRIA,030710,ASST DEI SETTE LAGHI,841,TRADATE,0331844209,45.7090232,8.9098199
779,CA' LUCIA C.P.M.,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA PEDEMONTANA,99,23019,TRAONA,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,846,MORBEGNO,0342652239,46.1466839,9.5429321
780,CENTRO RADIOLOGICO VALTELLINESE,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA NAZIONALE,89/E,23010,PIANTEDO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,846,MORBEGNO,N/A,46.1410586,9.4190086
781,CENTRO CAMUNO DI MEDICINA SPORTIVA CAMILLO GOLGI DI NOVELLI CRESCENZA & C,AMBULATORIO DI MEDICINA SPORTIVA,MEDICINA SPORTIVA,PRIVATA,N/A,N/A,N/A,SI,VIALE ALCIDE DE GASPERI,2,25047,DARFO BOARIO TERME,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,N/A,45.8900263,10.188078
782,FAORO FRANCO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA ALESSANDRO VOLTA,81,23022,CHIAVENNA,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,844,CHIAVENNA,N/A,46.3178013,9.392926
783,COOPERATIVA SOCIALE ATTIVAMENTE,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA ROMUALDO BONFADINI,2,23100,SONDRIO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,847,SONDRIO,0342-492302,46.16761,9.87153
784,AL CASTELLETTO,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA CASTELLETTO,16,25047,DARFO BOARIO TERME,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364533799,45.8857337,10.1916101
785,CENTRO DIURNO CASA DEL SOLE,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA CERMELEDO,SNC,23017,MORBEGNO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,846,MORBEGNO,0342610467,46.15037,9.58938
786,CDM SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA LECCO,11,20864,AGRATE BRIANZA,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,857,VIMERCATE,039363311,45.57373,9.35496599
787,POLICLINICO DI MONZA - POLIAMBULATORIO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA AMEDEO MODIGLIANI,10,20900,MONZA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,039837997,45.58282,9.3018
788,ALLIANCE MEDICAL DIAGNOSTIC - CENTRO RADIOLOGICO LISSONESE,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA GOFFREDO MAMELI,42/A,20851,LISSONE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,0392454279,45.60544,9.24204
789,RESIDENZA IL POGGIO,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA DELLA VIGNA,9,23849,ROGENO,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,853,LECCO,031865758,45.7882,9.26911
790,ISTITUTI CLINICI ZUCCHI SPA - POLIAMBULATORIO DI BRUGHERIO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA TRE RE,37,20861,BRUGHERIO,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,039884177,45.5494113,9.3018915
791,SOCIETÀ COOPERATIVA SOCIALE LUCIANO DONGHI - ONLUS,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA GUGLIELMO PEPE,3,20851,LISSONE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,039480202,45.62068,9.24856
792,ODONTOIATRICO SEREGNO SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VICOLO SANT'AGOSTINO,11,20831,SEREGNO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,856,SEREGNO,0362221177,45.6512169,9.2040958
793,AUXOLOGICO MEDA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA UMBERTO PACE,18,20821,MEDA,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,856,SEREGNO,N/A,45.6628487,9.1601582
794,BIANALISI,SERVIZIO DI MEDICINA DI LABORATORIO,DIAGNOSTICA DI LABORATORIO,PRIVATA,N/A,N/A,N/A,SI,VIA MATTAVELLI ANG.VIA S.AMBROGIO 1,20841,CARATE BRIANZA,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,039461027,45.67928,9.23719
795,POLITERAPICO POLIDIAGNOSTICO (DI VIA BORGAZZI),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA GEROLAMO BORGAZZI,87/B,20900,MONZA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,039323305,45.56613,9.26154
796,ALLIANCE MEDICAL DIAGNOSTIC SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA ANTONIO LOCATELLI,17,20811,CESANO MADERNO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0362521714,45.6337443,9.1498721
797,AMBULATORIO ORTOPEDICO FISIOTERAPICO S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA MONTE ORTIGARA,1 ANG.VIA MILANO 1,20871,VIMERCATE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,857,VIMERCATE,039660834,45.6081378,9.3688908
798,FISIOMED 2000 S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA GIOSUE' CARDUCCI,7,20813,BOVISIO-MASCIAGO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0362594311,45.6130909,9.1434184
799,SMART DENTAL CLINIC S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA EMILIO OSCULATI,15,20900,MONZA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,0392326562,45.58721,9.28878
800,P.B.M. CENTRO DI MEDICINA DELLO SPORT,AMBULATORIO DI MEDICINA SPORTIVA,MEDICINA SPORTIVA,PRIVATA,N/A,N/A,N/A,SI,VIA EUROPA,8,20813,BOVISIO-MASCIAGO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,N/A,45.61397,9.16723
801,AL CENTRO DELLA SALUTE,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,NO,VIA GIUSEPPE GARIBALDI,13,23887,OLGIATE MOLGORA,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,854,MERATE,039508653385967753,45.7260942,9.400605
802,NOVA MEDICAL POLIAMBULATORIO FISIOTERAPIA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA ROMA,21,20834,NOVA MILANESE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0362366108,45.59152,9.19952
803,CENTRO DIURNO CD,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA DELLA MISERICORDIA,51,20854,VEDANO AL LAMBRO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,039491161,45.6175582,9.2638541
804,STUDIO RADIOLOGICO BERNASCONI S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA SOLFERINO,150,20831,SEREGNO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,856,SEREGNO,0362231726,45.64019,9.19236
805,VILLA RATTI,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA PROVINCIALE,42,23876,MONTICELLO BRIANZA,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,854,MERATE,0399202289,45.71847,9.31769
806,COMUNITÀ PROTETTA 'VILLA ADA',STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,PIAZZA DELLA MADONNINA,1,20841,CARATE BRIANZA,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,03629861,45.6765766,9.2394798
807,POLICLINICO DI MONZA - ISTITUTO CLINICO UNIVERSITARIO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA FRANCESCO PETRARCA,51,20843,VERANO BRIANZA,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,03928101,45.6760153,9.2220976
808,CASA SAN PAOLO - CPA P1,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA DELLA MISERICORDIA,51,20854,VEDANO AL LAMBRO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,039491161,45.6175582,9.2638541
809,NUOVA CASA IRIS - CRA R0,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA VITTORIO ALFIERI,SNC,20854,VEDANO AL LAMBRO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,039491161,45.6160634,9.272981
810,NUOVA CASA IRIS - CRA R1,STRUTTURA DI PSICHIATRIA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA VITTORIO ALFIERI,SNC,20854,VEDANO AL LAMBRO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,851,CARATE,039491161,45.6160634,9.272981
811,SAN MARTINO SURGERY SERVICES - POLIAMBULATORIO SAN MARTINO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA SELVETTA ANG VIA PARADISO SNC,23864,MALGRATE,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,853,LECCO,03411695111,45.84796,9.38869
812,DIAGNOSI X CENTRO POLIDIAGNOSTICO S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA GIOSUE' CARDUCCI,8,20855,LESMO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,857,VIMERCATE,0396888088,45.645658,9.3077497
